"Country","Year","Number of under-five deaths (thousands)","Number of infant deaths (thousands)","Number of neonatal deaths (thousands)"
"Afghanistan","2016","80","60","46"
"Albania","2016","0","0","0"
"Algeria","2016","24","20","15"
"Andorra","2016","0","0","0"
"Angola","2016","96","65","35"
"Antigua and Barbuda","2016","0","0","0"
"Argentina","2016","8","7","5"
"Armenia","2016","1","0","0"
"Australia","2016","1","1","1"
"Austria","2016","0","0","0"
"Azerbaijan","2016","5","5","3"
"Bahamas","2016","0","0","0"
"Bahrain","2016","0","0","0"
"Bangladesh","2016","106","87","62"
"Barbados","2016","0","0","0"
"Belarus","2016","0","0","0"
"Belgium","2016","1","0","0"
"Belize","2016","0","0","0"
"Benin","2016","38","25","13"
"Bhutan","2016","0","0","0"
"Bolivia (Plurinational State of)","2016","9","7","5"
"Bosnia and Herzegovina","2016","0","0","0"
"Botswana","2016","2","2","1"
"Brazil","2016","45","40","23"
"Brunei Darussalam","2016","0","0","0"
"Bulgaria","2016","1","0","0"
"Burkina Faso","2016","60","38","19"
"Burundi","2016","31","21","11"
"Cabo Verde","2016","0","0","0"
"Cambodia","2016","11","10","6"
"Cameroon","2016","66","44","20"
"Canada","2016","2","2","1"
"Central African Republic","2016","20","14","7"
"Chad","2016","77","46","22"
"Chile","2016","2","2","1"
"China","2016","168","144","86"
"Colombia","2016","11","10","6"
"Comoros","2016","2","1","1"
"Congo","2016","9","7","4"
"Cook Islands","2016","0","0","0"
"Costa Rica","2016","1","1","0"
"Côte d'Ivoire","2016","78","57","32"
"Croatia","2016","0","0","0"
"Cuba","2016","1","1","0"
"Cyprus","2016","0","0","0"
"Czechia","2016","0","0","0"
"Democratic People's Republic of Korea","2016","7","5","4"
"Democratic Republic of the Congo","2016","304","235","96"
"Denmark","2016","0","0","0"
"Djibouti","2016","1","1","1"
"Dominica","2016","0","0","0"
"Dominican Republic","2016","7","5","4"
"Ecuador","2016","7","6","4"
"Egypt","2016","57","49","32"
"El Salvador","2016","2","2","1"
"Equatorial Guinea","2016","4","3","1"
"Eritrea","2016","7","5","3"
"Estonia","2016","0","0","0"
"Ethiopia","2016","187","132","90"
